Fantasy Index Cheat Sheet,,,,,,
Rankings calculated for OALFFL,,,,,,
,,,,,,
"Projections updated through Sep 01, 2025,  4 a.m. EDT",,,,,,
ALL POSITIONS,,,,,,
Rank,Pos,Team,Name,Bye,Points,
127,RB,HOU,Joe Mixon,6,128.75,
128,WR,IND,Michael Pittman,11,161.48,
129,WR,BUF,Keon Coleman,7,160.52,
130,QB,SEA,Sam Darnold,8,217.41,
131,RB,SF,Brian Robinson,14,127.43,
132,WR,BAL,Rashod Bateman,7,160.01,
133,RB,SEA,Zach Charbonnet,8,126.61,
134,TE,GB,Tucker Kraft,5,169.12,
135,ST,PIT,Pittsburgh,5,115.22,
136,RB,MIN,Jordan Mason,6,126.23,
137,ST,DEN,Denver,12,137.3,
138,ST,HOU,Houston,6,116.26,
139,RB,LAC,Najee Harris,12,125.97,
140,QB,ATL,Michael Penix,5,212.67,
141,RB,HOU,Nick Chubb,6,121.94,
142,K,DET,Jake Bates,8,142.68,
143,RB,CLE,Quinshon Judkins,9,121.27,
144,RB,WAS,Jacory Croskey-Merritt,12,118.91,
145,RB,BAL,Justice Hill,7,117.9,
146,WR,NE,DeMario Douglas,14,149.74,
147,ST,BAL,Baltimore,7,123.42,
148,ST,MIN,Minnesota,6,116.8,
149,RB,CAR,Rico Dowdle,14,116.59,
150,TE,DEN,Evan Engram,12,158.76,
151,K,DAL,Brandon Aubrey,10,154.04,
152,WR,NO,Rashid Shaheed,11,148.52,
153,WR,LAC,Keenan Allen,12,148.48,
154,TE,BUF,Dalton Kincaid,7,158.22,
155,RB,DAL,Jaydon Blue,10,114.31,
156,WR,CHI,Rome Odunze,5,146.22,
157,WR,SEA,Cooper Kupp,8,145.9,
158,WR,DEN,Troy Franklin,12,143.39,
159,WR,IND,Josh Downs,11,142.78,
160,K,TB,Chase McLaughlin,9,141.32,
161,ST,PHI,Philadelphia,9,117.65,
162,WR,ARI,Michael Wilson,8,142.68,
163,WR,CLE,Cedric Tillman,9,140.32,
164,WR,GB,Romeo Doubs,5,139.87,
165,WR,KC,JuJu Smith-Schuster,10,139.38,
166,WR,BUF,Joshua Palmer,7,136.55,
167,ST,DET,Detroit,8,108.7,
168,WR,LAC,Quentin Johnston,12,132.87,
169,ST,SEA,Seattle,8,114.82,
170,K,LAC,Cameron Dicker,12,153.31,
171,TE,CHI,Colston Loveland,5,141.18,
172,K,BUF,Tyler Bass,7,130.39,
173,ST,NE,New England,14,89.89,
174,K,PHI,Jake Elliott,9,144.31,
175,WR,TB,Chris Godwin,9,129.34,
176,K,PIT,Chris Boswell,5,140.04,
177,QB,IND,Daniel Jones,11,184.51,
178,K,KC,Harrison Butker,10,146.16,
179,K,JAC,Cam Little,8,137.01,
180,ST,BUF,Buffalo,7,120.12,
181,K,BAL,Tyler Loop,7,139.47,
182,ST,GB,Green Bay,5,122.84,
183,TE,PIT,Pat Freiermuth,5,133.44,
184,ST,IND,Indianapolis,11,97.64,
185,TE,NYG,Theo Johnson,14,133.26,
186,TE,MIA,Darren Waller,12,132.36,
187,TE,CAR,Ja'Tavion Sanders,14,131.46,
188,K,CHI,Cairo Santos,5,130.95,
189,QB,NO,Spencer Rattler,11,148.65,
190,QB,CLE,Joe Flacco,9,141.97,
191,QB,NYG,Jaxson Dart,14,136.51,
192,K,WAS,Matt Gay,12,133.87,
193,RB,LAR,Blake Corum,8,114.28,
194,RB,WAS,Chris Rodriguez,12,114.1,
195,RB,NYG,Cam Skattebo,14,114.03,
196,RB,ATL,Tyler Allgeier,5,113.63,
197,RB,BUF,Ty Johnson,7,104.2,
198,RB,TB,Sean Tucker,9,103.2,
199,RB,PIT,Kenneth Gainwell,5,102.28,
200,RB,TB,Rachaad White,9,101.04,
201,RB,BUF,Ray Davis,7,98.21,
202,RB,KC,Kareem Hunt,10,96.94,
203,WR,TEN,Tyler Lockett,10,124.25,
204,WR,MIA,Malik Washington,12,121.21,
205,TE,CHI,Cole Kmet,5,129.3,
206,TE,ATL,Kyle Pitts,5,125.92,
207,RB,CLE,Dylan Sampson,9,82.8,
208,RB,NO,Kendre Miller,11,81.79,
209,TE,HOU,Dalton Schultz,6,124.52,
210,RB,CHI,Kyle Monangai,5,81.45,
211,TE,CIN,Mike Gesicki,10,123.95,
212,TE,NO,Juwan Johnson,11,123.44,
213,RB,CHI,Roschon Johnson,5,79.9,
214,RB,CIN,Samaje Perine,10,79.41,
215,WR,KC,Marquise Brown,10,111.51,
216,TE,TEN,Chig Okonkwo,10,121.26,
217,WR,LV,Donte Thornton,8,110.93,
218,WR,DET,Isaac TeSlaa,8,110.56,
219,TE,JAC,Brenton Strange,8,120.1,
220,RB,TEN,Tyjae Spears,10,75.83,
221,WR,ATL,Ray-Ray McCloud,5,107.54,
222,RB,GB,Emanuel Wilson,5,73.25,
223,RB,PHI,Will Shipley,9,72.48,
224,TE,NE,Hunter Henry,14,114.25,
225,RB,GB,Chris Brooks,5,70.62,
226,TE,LAR,Tyler Higbee,8,113.3,
227,WR,IND,Alec Pierce,11,102.37,
228,WR,SEA,Tory Horton,8,102.35,
229,WR,NYG,Darius Slayton,14,101.21,
230,WR,LAR,Tutu Atwell,8,98.35,
231,TE,BAL,Isaiah Likely,7,107.96,
232,WR,CAR,Jalen Coker,14,95.55,
233,RB,NYJ,Andrew Beck,9,62.61,
234,WR,CIN,Andrei Iosivas,10,95.2,
235,WR,PIT,Calvin Austin,5,94.3,
236,WR,CHI,Olamide Zaccheaus,5,94.27,
237,RB,DAL,Miles Sanders,10,61.04,
238,TE,PIT,Jonnu Smith,5,103.09,
239,WR,CLE,Jamari Thrash,9,92.75,
240,WR,MIN,Adam Thielen,6,90.26,
241,WR,NYJ,Josh Reynolds,9,89.74,
242,WR,KC,Tyquan Thornton,10,89.22,
243,TE,NYJ,Mason Taylor,9,98.71,
244,TE,TB,Cade Otton,9,97.25,
245,RB,BAL,Keaton Mitchell,7,53.77,
246,RB,NYJ,Isaiah Davis,9,53.58,
247,WR,SF,Brandon Aiyuk,14,86.03,
248,RB,SEA,Robbie Ouzts,8,52.97,
249,WR,HOU,Jayden Higgins,6,85.51,
250,WR,TB,Jalen McMillan,9,85.42,
251,WR,BAL,DeAndre Hopkins,7,84.85,
252,TE,SEA,Elijah Arroyo,8,94.18,
253,WR,CAR,Hunter Renfrow,14,83.48,
254,RB,NYG,Devin Singletary,14,50.61,
255,RB,NE,Antonio Gibson,14,50.29,
256,TE,KC,Noah Gray,10,93.05,
257,TE,CLE,Harold Fannin,9,92.62,
258,WR,JAC,Dyami Brown,8,81.22,
259,RB,JAC,Bhayshul Tuten,8,48.29,
260,RB,DEN,Jaleel McLaughlin,12,48.05,
261,WR,CIN,Mitchell Tinsley,10,80.75,
262,RB,KC,Brashard Smith,10,47.66,
263,RB,CIN,Tahj Brooks,10,47.48,
264,WR,TEN,Elic Ayomanor,10,80.07,
265,RB,HOU,Woody Marks,6,46.61,
266,RB,DEN,Tyler Badie,12,46.06,
267,RB,LV,Raheem Mostert,8,45.88,
268,RB,HOU,Dare Ogunbowale,6,45.13,
269,TE,LAC,Will Dissly,12,87.44,
270,RB,SF,Isaac Guerendo,14,43.64,
271,WR,NE,Mack Hollins,14,76.37,
272,RB,SF,Kyle Juszczyk,14,43.4,
273,WR,HOU,Xavier Hutchinson,6,75.33,
274,WR,NO,Brandin Cooks,11,73.67,
275,RB,LV,Zamir White,8,37.03,
276,WR,PHI,Jahan Dotson,9,69.87,
277,WR,LAC,KeAndre Lambert-Smith,12,69.64,
278,WR,LV,Amari Cooper,8,69.64,
279,RB,WAS,Jeremy McNichols,12,36.41,
280,WR,DAL,Jalen Tolbert,10,68.83,
281,RB,IND,DJ Giddens,11,35.75,
282,WR,NO,Devaughn Vele,11,68.42,
283,RB,CLE,Raheim Sanders,9,34.94,
284,WR,JAC,Parker Washington,8,67.4,
285,RB,MIA,Alec Ingold,12,34.55,
286,WR,NE,Kyle Williams,14,67.09,
287,WR,DAL,KaVontae Turpin,10,66.69,
288,TE,SEA,AJ Barner,8,76.16,
289,RB,IND,Tyler Goodson,11,32.54,
290,WR,TB,Sterling Shepard,9,65.17,
291,WR,GB,Christian Watson,5,63.27,
292,TE,NE,Austin Hooper,14,72.17,
293,RB,SEA,George Holani,8,28.87,
294,WR,WAS,Noah Brown,12,60.98,
295,WR,ARI,Greg Dortch,8,60.23,
296,WR,CHI,Luther Burden,5,59.99,
297,WR,GB,Dontayvion Wicks,5,59.91,
298,TE,LAC,Tyler Conklin,12,69.59,
299,RB,ARI,Emari Demercado,8,26.57,
300,WR,NE,Kayshon Boutte,14,58.71,
301,RB,DET,Craig Reynolds,8,25.37,
302,WR,TEN,Van Jefferson,10,57.72,
303,WR,PIT,Roman Wilson,5,57.09,
304,WR,DEN,Pat Bryant,12,55.59,
305,WR,LV,Tre Tucker,8,54.92,
306,RB,MIA,Jeff Wilson,12,21.78,
307,RB,MIA,Jaylen Wright,12,21.42,
308,TE,TEN,Gunnar Helm,10,64.12,
309,WR,WAS,Jaylin Lane,12,53,
