Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 04, 2025,  2 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
94,QB,IND,Daniel Jones,11,207.73,,,,,,,,,
95,WR,JAC,Travis Hunter,8,158.97,,,,,,,,,
96,WR,MIA,Jaylen Waddle,12,184.24,,,,,,,,,
97,RB,HOU,Joe Mixon,6,134.37,,,,,,,,,
98,RB,WAS,Austin Ekeler,12,143.07,,,,,,,,,
99,RB,HOU,Nick Chubb,6,128.82,,,,,,,,,
100,RB,SEA,Zach Charbonnet,8,130.88,,,,,,,,,
101,RB,JAC,Travis Etienne,8,153.79,,,,,,,,,
102,TE,WAS,Zach Ertz,12,128.73,,,,,,,,,
103,ST,DEN,Denver,12,169.76,,,,,,,,,
104,QB,MIA,Tua Tagovailoa,12,251.72,,,,,,,,,
105,WR,GB,Matthew Golden,5,161.93,,,,,,,,,
106,RB,PIT,Jaylen Warren,5,159.68,,,,,,,,,
107,RB,DEN,J.K. Dobbins,12,165.99,,,,,,,,,
108,RB,CLE,Quinshon Judkins,9,136.25,,,,,,,,,
109,ST,BAL,Baltimore,7,152.24,,,,,,,,,
110,ST,GB,Green Bay,5,152.64,,,,,,,,,
111,ST,BUF,Buffalo,7,145.84,,,,,,,,,
112,ST,PHI,Philadelphia,9,141.34,,,,,,,,,
113,K,DAL,Brandon Aubrey,10,147.15,,,,,,,,,
114,K,WAS,Matt Gay,12,126.44,,,,,,,,,
115,K,BUF,Tyler Bass,7,125.1,,,,,,,,,
116,WR,KC,Rashee Rice,10,140.79,,,,,,,,,
117,ST,MIN,Minnesota,6,141.77,,,,,,,,,
118,ST,PIT,Pittsburgh,5,141.64,,,,,,,,,
119,K,TB,Chase McLaughlin,9,135.69,,,,,,,,,
120,ST,HOU,Houston,6,142.75,,,,,,,,,
121,K,LAC,Cameron Dicker,12,147.63,,,,,,,,,
122,WR,CHI,Rome Odunze,5,116.02,,,,,,,,,
123,K,DET,Jake Bates,8,135.52,,,,,,,,,
124,K,PHI,Jake Elliott,9,138.46,,,,,,,,,
125,K,KC,Harrison Butker,10,140.23,,,,,,,,,
126,RB,MIA,Ollie Gordon,12,136.98,,,,,,,,,
127,WR,MIN,Jordan Addison,6,147.16,,,,,,,,,
128,RB,NE,Rhamondre Stevenson,14,136.24,,,,,,,,,
129,RB,LAC,Najee Harris,12,166.04,,,,,,,,,
130,RB,DAL,Javonte Williams,10,182.92,,,,,,,,,
131,TE,GB,Tucker Kraft,5,138.45,,,,,,,,,
132,TE,PHI,Dallas Goedert,9,130.55,,,,,,,,,
133,QB,CAR,Bryce Young,14,270.76,,,,,,,,,
134,RB,ARI,Trey Benson,8,149.07,,,,,,,,,
135,RB,NYJ,Braelon Allen,9,144.09,,,,,,,,,
136,RB,CLE,Jerome Ford,9,143.65,,,,,,,,,
137,WR,LV,Jakobi Meyers,8,165.78,,,,,,,,,
138,RB,SF,Brian Robinson,14,140.11,,,,,,,,,
139,WR,ATL,Darnell Mooney,5,155.56,,,,,,,,,
140,WR,SF,Jauan Jennings,14,152.95,,,,,,,,,
141,TE,DAL,Jake Ferguson,10,118.43,,,,,,,,,
142,TE,BUF,Dalton Kincaid,7,114.83,,,,,,,,,
143,TE,DEN,Evan Engram,12,113.88,,,,,,,,,
144,QB,LV,Geno Smith,8,252.59,,,,,,,,,
145,QB,TEN,Cam Ward,10,251.77,,,,,,,,,
146,QB,PIT,Aaron Rodgers,5,244.35,,,,,,,,,
147,TE,CHI,Colston Loveland,5,103.27,,,,,,,,,
148,RB,ATL,Tyler Allgeier,5,123.52,,,,,,,,,
149,WR,BUF,Khalil Shakir,7,147.11,,,,,,,,,
150,QB,SEA,Sam Darnold,8,241.78,,,,,,,,,
151,TE,ATL,Kyle Pitts,5,98.12,,,,,,,,,
152,QB,LAR,Matthew Stafford,8,238.44,,,,,,,,,
153,TE,NYG,Theo Johnson,14,97.57,,,,,,,,,
154,TE,PIT,Pat Freiermuth,5,96.72,,,,,,,,,
155,WR,BUF,Keon Coleman,7,141.14,,,,,,,,,
156,RB,WAS,Chris Rodriguez,12,117.41,,,,,,,,,
157,WR,BAL,Rashod Bateman,7,140.82,,,,,,,,,
158,RB,LAR,Blake Corum,8,116.77,,,,,,,,,
