Fantasy Index Cheat Sheet,,,,,,,,,,,,,,
Rankings calculated for Ohio Outcasts,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Projections updated through Sep 07, 2026,  8 p.m. EDT",,,,,,,,,,,,,,
ALL POSITIONS,,,,,,,,,,,,,,
Rank,Pos,Team,Name,Bye,Points,,,,,,,,,
94,WR,SF,Mike Evans,8,146.78,,,,,,,,,
95,WR,PIT,DK Metcalf,9,154.49,,,,,,,,,
96,TE,CLE,Harold Fannin,11,136.29,,,,,,,,,
97,QB,HOU,C.J. Stroud,8,252.14,,,,,,,,,
98,DST,HOU,Houston,8,180.21,,,,,,,,,
99,DST,LAR,LA Rams,11,172.54,,,,,,,,,
100,RB,CAR,Chuba Hubbard,5,156.7,,,,,,,,,
101,RB,JAC,Chris Rodriguez,7,150.21,,,,,,,,,
102,WR,DEN,Courtland Sutton,10,141.77,,,,,,,,,
103,WR,GB,Jayden Reed,11,124.13,,,,,,,,,
104,TE,IND,Tyler Warren,13,133.5,,,,,,,,,
105,QB,TEN,Cam Ward,9,249,,,,,,,,,
106,DST,SEA,Seattle,11,171.11,,,,,,,,,
107,DST,DEN,Denver,10,167.69,,,,,,,,,
108,RB,HOU,Woody Marks,8,149.49,,,,,,,,,
109,RB,NE,TreVeyon Henderson,11,138.07,,,,,,,,,
110,WR,IND,Alec Pierce,13,136.36,,,,,,,,,
111,WR,GB,Matthew Golden,11,128.29,,,,,,,,,
112,WR,CAR,Jalen Coker,5,134.06,,,,,,,,,
113,DST,PIT,Pittsburgh,9,156.94,,,,,,,,,
114,K,DAL,Brandon Aubrey,14,154.4,,,,,,,,,
115,K,LAC,Cameron Dicker,7,151.67,,,,,,,,,
116,K,HOU,Ka'imi Fairbairn,8,148.09,,,,,,,,,
117,K,JAC,Cam Little,7,145.39,,,,,,,,,
118,RB,CAR,Jonathon Brooks,5,143.23,,,,,,,,,
119,RB,GB,Josh Jacobs,11,142.74,,,,,,,,,
120,WR,CLE,Jerry Jeudy,11,129.3,,,,,,,,,
121,DST,MIN,Minnesota,6,150.29,,,,,,,,,
122,DST,NE,New England,11,149.24,,,,,,,,,
123,DST,PHI,Philadelphia,10,147.88,,,,,,,,,
124,K,SEA,Jason Myers,11,142.8,,,,,,,,,
